n	p	alpha	c_palpha
8	0.05	0.01	5.496589828
8	0.1	0.01	4.327378937
8	0.2	0.01	3.148113761
8	0.3	0.01	2.456154699
8	0.4	0.01	1.964593511
8	0.5	0.01	1.586634385
8	0.6	0.01	1.287537905
8	0.7	0.01	1.045301498
8	0.8	0.01	0.853556173
8	0.9	0.01	0.713509381
8	0.95	0.01	0.671274638
8	0.99	0.01	0.688168031
10	0.01	0.01	6.382095051
10	0.05	0.01	4.293921777
10	0.1	0.01	3.394588865
10	0.2	0.01	2.492618028
10	0.3	0.01	1.9612167
10	0.4	0.01	1.584636295
10	0.5	0.01	1.296362075
10	0.6	0.01	1.067909759
10	0.7	0.01	0.883631206
10	0.8	0.01	0.739149538
10	0.9	0.01	0.63647614
10	0.95	0.01	0.610578977
10	0.99	0.01	0.636695787
12	0.01	0.01	5.328452988
12	0.05	0.01	3.596358521
12	0.1	0.01	2.85198042
12	0.2	0.01	2.10517199
12	0.3	0.01	1.667166412
12	0.4	0.01	1.356912118
12	0.5	0.01	1.119459328
12	0.6	0.01	0.93087802
12	0.7	0.01	0.780610546
12	0.8	0.01	0.663024853
12	0.9	0.01	0.581808997
12	0.95	0.01	0.565472193
12	0.99	0.01	0.597390329
15	0.01	0.01	4.331741256
15	0.05	0.01	2.9343842
15	0.1	0.01	2.335774491
15	0.2	0.01	1.735642755
15	0.3	0.01	1.384906762
15	0.4	0.01	1.135718159
15	0.5	0.01	0.945513452
15	0.6	0.01	0.795084472
15	0.7	0.01	0.675231242
15	0.8	0.01	0.583372505
15	0.9	0.01	0.523224542
15	0.95	0.01	0.514502607
15	0.99	0.01	0.550782763
20	0.01	0.01	3.399142687
20	0.05	0.01	2.314880309
20	0.1	0.01	1.848541957
20	0.2	0.01	1.381403758
20	0.3	0.01	1.108830058
20	0.4	0.01	0.91723504
20	0.5	0.01	0.771750176
20	0.6	0.01	0.656592688
20	0.7	0.01	0.56656247
20	0.8	0.01	0.498628974
20	0.9	0.01	0.457936649
20	0.95	0.01	0.456889937
20	0.99	0.01	0.495700642
25	0.01	0.01	2.854638841
25	0.05	0.01	1.949607584
25	0.1	0.01	1.561216418
25	0.2	0.01	1.173137283
25	0.3	0.01	0.94660173
25	0.4	0.01	0.787217266
25	0.5	0.01	0.66646982
25	0.6	0.01	0.571468188
25	0.7	0.01	0.497558468
25	0.8	0.01	0.44363339
25	0.9	0.01	0.41384826
25	0.95	0.01	0.416430204
25	0.99	0.01	0.455805842
30	0.01	0.01	2.491940397
30	0.05	0.01	1.704243774
30	0.1	0.01	1.36789883
30	0.2	0.01	1.031452235
30	0.3	0.01	0.835446144
30	0.4	0.01	0.697773887
30	0.5	0.01	0.593132339
30	0.6	0.01	0.512004915
30	0.7	0.01	0.449295771
30	0.8	0.01	0.403800186
30	0.9	0.01	0.381053389
30	0.95	0.01	0.386088031
30	0.99	0.01	0.42492823
35	0.01	0.01	2.232463111
35	0.05	0.01	1.53207714
35	0.1	0.01	1.231021013
35	0.2	0.01	0.930392267
35	0.3	0.01	0.75519371
35	0.4	0.01	0.631963039
35	0.5	0.01	0.538862763
35	0.6	0.01	0.466993448
35	0.7	0.01	0.411649803
35	0.8	0.01	0.372999707
35	0.9	0.01	0.355212698
35	0.95	0.01	0.361834756
35	0.99	0.01	0.40049605
40	0.01	0.01	2.033224263
40	0.05	0.01	1.395862485
40	0.1	0.01	1.122774331
40	0.2	0.01	0.850460728
40	0.3	0.01	0.692159616
40	0.4	0.01	0.580983714
40	0.5	0.01	0.497043786
40	0.6	0.01	0.432761804
40	0.7	0.01	0.383463313
40	0.8	0.01	0.349222404
40	0.9	0.01	0.334547783
40	0.95	0.01	0.342020998
40	0.99	0.01	0.379794876
45	0.01	0.01	1.879393577
45	0.05	0.01	1.290962147
45	0.1	0.01	1.039505147
45	0.2	0.01	0.788611662
45	0.3	0.01	0.643501896
45	0.4	0.01	0.541752746
45	0.5	0.01	0.464418418
45	0.6	0.01	0.405049322
45	0.7	0.01	0.359852046
45	0.8	0.01	0.328871389
45	0.9	0.01	0.316346488
45	0.95	0.01	0.324575926
45	0.99	0.01	0.361829913
50	0.01	0.01	1.751183346
50	0.05	0.01	1.205380228
50	0.1	0.01	0.97159219
50	0.2	0.01	0.737733756
50	0.3	0.01	0.601967724
50	0.4	0.01	0.507441445
50	0.5	0.01	0.436016591
50	0.6	0.01	0.381395448
50	0.7	0.01	0.340103529
50	0.8	0.01	0.31223445
50	0.9	0.01	0.302165555
50	0.95	0.01	0.310842252
50	0.99	0.01	0.347445601
